10.99.80.179,HeliumLevel,BoreTemperature
2022-10-21 05:00:27,82.4000015258789,48.5999984741211
2022-10-21 09:07:21,82.4000015258789,48.5999984741211
2022-10-21 09:07:44,82.4000015258789,48.5999984741211
2022-10-22 05:00:26,82.1999969482422,47.9000015258789
2022-10-22 09:38:52,82.1999969482422,47.9000015258789
2022-10-22 09:39:15,82.1999969482422,47.9000015258789
2022-10-23 05:00:26,82.4000015258789,47.2000007629394
2022-10-23 09:03:57,82.4000015258789,47.2000007629394
2022-10-23 09:04:20,82.4000015258789,47.2000007629394
2022-10-24 05:00:27,82.4000015258789,46.5
2022-10-24 09:34:58,82.4000015258789,46.5
2022-10-24 09:35:21,82.4000015258789,46.5
2022-10-25 05:00:27,82.4000015258789,49.2999992370606
2022-10-25 09:20:42,82.4000015258789,49.2999992370606
2022-10-25 09:21:07,82.4000015258789,49.2999992370606
